Experiment_Code;Latitude_of_Field_Corner_#1 (lower left);Longitude_of_Field_Corner_#1 (lower left);Latitude_of_Field_Corner_#2 (lower right);Longitude_of_Field_Corner_#2 (lower right);Latitude_of_Field_Corner_#3 (upper right);Longitude_of_Field_Corner_#3 (upper right);Latitude_of_Field_Corner_#4 (upper left);Longitude_of_Field_Corner_#4 (upper left)
ARH1;34.729874;-90.759769;34.729865;-90.76089;34.720138;-90.760876;34.729129;-90.759768
ARH2;35.674718;-90.07489;35.67471;-90.075622;35.673653;-90.075661;35.673644;-90.074905
COH1;40.647855;-105.000257;40.647855;-104.999281;40.649146;-104.999314;40.649145;-105.000278
DEH1;38.669557;-75.433932;38.669434;-75.433613;38.671009;-75.432751;38.671033;-75.433162
GAH1;31.508253;-83.559239;31.507864;-83.559422;31.507681;-83.557598;31.507979;-83.55792
GAH2;33.726862;-83.297769;33.727317;-83.297691;33.727422;-83.298665;33.726979;-83.298736
IAH1;41.19942883;-91.49516276;41.19910071;-91.49524455;41.19906392;-91.49291949;41.1993909;-91.49276503
IAH2;42.06455508;-94.72074524;42.06460553;-94.72030238;42.06712988;-94.72025685;42.06702455;-94.7207007
IAH3;41.97575167;-92.24144143;41.97599864;-92.24144258;41.97598944;-92.24497298;41.97574266;-92.24489826
IAH4;41.99439403;-93.68863495;41.99472332;-93.6886365;41.99471451;-93.69202079;41.99438541;-93.69194566
MIH1;42.681899;-84.494063;42.681934;-84.494618;42.680423;-84.494593;42.680407;-84.494091
MNH1;43.07471;-89.384397;43.07471;-89.384397;43.07471;-89.384397;43.07471;-89.384397
MOH1;38.89238;-92.20483;38.89288;-92.20503;38.89289;-92.20658;38.89241;-92.20657
NCH1;35.296066;-77.567222;35.297308;-77.566745;35.297251;-77.566404;35.295924;-77.566855
NEH1;41.162;-96.409;41.162;-96.409;41.162;-96.409;41.162;-96.409
NEH2;41.162;-96.409;41.162;-96.409;41.162;-96.409;41.162;-96.409
NEH3;41.162;-96.409;41.162;-96.409;41.162;-96.409;41.162;-96.409
NEH4;41.162;-96.409;41.162;-96.409;41.162;-96.409;41.162;-96.409
NYH1;42.7286167;-76.6524;42.7286167;-76.65068333;42.7290167;-76.65071667;42.7289833;-76.65245
NYH2;42.732186;-76.653267;42.732208;-76.652265;42.732823;-76.652181;42.732708;-76.653288
NYH3;42.733064;-76.653178;42.733078;-76.652239;42.733716;-76.652233;42.733727;-76.653338
OHH1;39.85542;-83.664387;39.856075;-83.664298;39.85615;-83.665185;39.855495;-83.665225
ONH1;43.496036;-80.426126;43.495887;-80.426532;43.494869;-80.425816;43.495048;-80.425401
ONH2;42.452733;-81.883468;42.452401;-81.883032;42.453132;-81.882;42.453455;-81.882426
SCH1;34.62261;-82.73796;34.62224;-82.7373;34.62289;-82.73677;34.62316;-82.73747
TXH1;43.07471;-89.384397;43.07471;-89.384397;43.07471;-89.384397;43.07471;-89.384397
WIH1;43.057176;-89.531052;43.057129;-89.530495;43.056213;-89.530627;43.056207;-89.53108
WIH2;43.324531;-89.335756;43.324745;-89.335736;43.324784;-89.338019;43.324506;-89.33804
