Experiment_Code,Field_Polygon
ARH1,"POLYGON ((-90.759769 34.729874, -90.76089 34.729865, -90.760876 34.720138, -90.759768 34.729129, -90.759769 34.729874))"
ARH2,"POLYGON ((-90.07489 35.674718, -90.075622 35.67471, -90.075661 35.673653, -90.074905 35.673644, -90.07489 35.674718))"
COH1,"POLYGON ((-105.000257 40.647855, -104.999281 40.647855, -104.999314 40.649146, -105.000278 40.649145, -105.000257 40.647855))"
DEH1,"POLYGON ((-75.433932 38.669557, -75.433613 38.669434, -75.432751 38.671009, -75.433162 38.671033, -75.433932 38.669557))"
GAH1,"POLYGON ((-83.559239 31.508253, -83.559422 31.507864, -83.557598 31.507681, -83.55792 31.507979, -83.559239 31.508253))"
GAH2,"POLYGON ((-83.297769 33.726862, -83.297691 33.727317, -83.298665 33.727422, -83.298736 33.726979, -83.297769 33.726862))"
IAH1,"POLYGON ((-91.49516276 41.19942883, -91.49524455 41.19910071, -91.49291949 41.19906392, -91.49276503 41.1993909, -91.49516276 41.19942883))"
IAH2,"POLYGON ((-94.72074524 42.06455508, -94.72030238 42.06460553, -94.72025685 42.06712988, -94.7207007 42.06702455, -94.72074524 42.06455508))"
IAH3,"POLYGON ((-92.24144143 41.97575167, -92.24144258 41.97599864, -92.24497298 41.97598944, -92.24489826 41.97574266, -92.24144143 41.97575167))"
IAH4,"POLYGON ((-93.68863495 41.99439403, -93.6886365 41.99472332, -93.69202079 41.99471451, -93.69194566 41.99438541, -93.68863495 41.99439403))"
MIH1,"POLYGON ((-84.494063 42.681899, -84.494618 42.681934, -84.494593 42.680423, -84.494091 42.680407, -84.494063 42.681899))"
MNH1,"POLYGON ((-89.384397 43.07471, -89.384397 43.07471, -89.384397 43.07471, -89.384397 43.07471, -89.384397 43.07471))"
MOH1,"POLYGON ((-92.20483 38.89238, -92.20503 38.89288, -92.20658 38.89289, -92.20657 38.89241, -92.20483 38.89238))"
NCH1,"POLYGON ((-77.567222 35.296066, -77.566745 35.297308, -77.566404 35.297251, -77.566855 35.295924, -77.567222 35.296066))"
NEH1,"POLYGON ((-96.409 41.162, -96.409 41.162, -96.409 41.162, -96.409 41.162, -96.409 41.162))"
NEH2,"POLYGON ((-96.409 41.162, -96.409 41.162, -96.409 41.162, -96.409 41.162, -96.409 41.162))"
NEH3,"POLYGON ((-96.409 41.162, -96.409 41.162, -96.409 41.162, -96.409 41.162, -96.409 41.162))"
NEH4,"POLYGON ((-96.409 41.162, -96.409 41.162, -96.409 41.162, -96.409 41.162, -96.409 41.162))"
NYH1,"POLYGON ((-76.6524 42.7286167, -76.65068333 42.7286167, -76.65071667 42.7290167, -76.65245 42.7289833, -76.6524 42.7286167))"
NYH2,"POLYGON ((-76.653267 42.732186, -76.652265 42.732208, -76.652181 42.732823, -76.653288 42.732708, -76.653267 42.732186))"
NYH3,"POLYGON ((-76.653178 42.733064, -76.652239 42.733078, -76.652233 42.733716, -76.653338 42.733727, -76.653178 42.733064))"
OHH1,"POLYGON ((-83.664387 39.85542, -83.664298 39.856075, -83.665185 39.85615, -83.665225 39.855495, -83.664387 39.85542))"
ONH1,"POLYGON ((-80.426126 43.496036, -80.426532 43.495887, -80.425816 43.494869, -80.425401 43.495048, -80.426126 43.496036))"
ONH2,"POLYGON ((-81.883468 42.452733, -81.883032 42.452401, -81.882 42.453132, -81.882426 42.453455, -81.883468 42.452733))"
SCH1,"POLYGON ((-82.73796 34.62261, -82.7373 34.62224, -82.73677 34.62289, -82.73747 34.62316, -82.73796 34.62261))"
TXH1,"POLYGON ((-89.384397 43.07471, -89.384397 43.07471, -89.384397 43.07471, -89.384397 43.07471, -89.384397 43.07471))"
WIH1,"POLYGON ((-89.531052 43.057176, -89.530495 43.057129, -89.530627 43.056213, -89.53108 43.056207, -89.531052 43.057176))"
WIH2,"POLYGON ((-89.335756 43.324531, -89.335736 43.324745, -89.338019 43.324784, -89.33804 43.324506, -89.335756 43.324531))"
